time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-25T22:10:35.990Z,35.678,-117.5146667,10.8,1.33,ml,20,138,0.1008,0.13,ci,ci39282144,2020-01-25T22:14:21.357Z,"14km SW of Searles Valley, CA",earthquake,0.27,0.59,0.131,18,automatic,ci,ci
2020-01-25T22:09:42.720Z,35.6788333,-117.5223333,11.24,2.01,ml,30,80,0.1043,0.16,ci,ci39282136,2020-01-27T01:53:28.927Z,"14km SW of Searles Valley, CA",earthquake,0.25,0.45,0.159,25,reviewed,ci,ci
2020-01-25T20:03:49.350Z,35.6778333,-117.5465,8.43,1.3,ml,14,148,0.1141,0.13,ci,ci39282032,2020-01-25T20:07:17.201Z,"13km ENE of Ridgecrest, CA",earthquake,0.3,1.2,0.057,6,automatic,ci,ci
2020-01-25T11:51:37.200Z,35.6598333,-117.4441667,2.31,1.79,ml,26,95,0.07463,0.2,ci,ci39281752,2020-01-27T15:45:20.300Z,"12km SSW of Searles Valley, CA",earthquake,0.35,0.7,0.153,27,reviewed,ci,ci
2020-01-25T11:45:54.270Z,35.6245,-117.431,7.54,1.2,ml,18,158,0.04565,0.22,ci,ci39281744,2020-01-27T15:44:38.776Z,"16km S of Searles Valley, CA",earthquake,0.58,1,0.123,14,reviewed,ci,ci
2020-01-25T11:08:07.470Z,35.7185,-117.5293333,4.55,1.49,ml,24,95,0.1118,0.14,ci,ci39281712,2020-01-25T11:18:40.040Z,"13km WSW of Searles Valley, CA",earthquake,0.26,0.77,0.151,22,automatic,ci,ci
2020-01-24T23:00:14.810Z,35.616,-117.4595,2.68,1.23,ml,14,112,0.02952,0.18,ci,ci39281256,2020-01-27T15:52:53.000Z,"18km SSW of Searles Valley, CA",earthquake,0.38,0.44,0.221,12,reviewed,ci,ci
2020-01-24T12:04:52.860Z,35.6263333,-117.4736667,5.9,2.01,ml,22,65,0.04083,0.17,ci,ci39280704,2020-01-24T12:15:50.060Z,"17km SSW of Searles Valley, CA",earthquake,0.35,0.71,0.093,25,automatic,ci,ci
2020-01-24T11:22:38.530Z,35.8511667,-117.6703333,3.81,2.05,ml,20,60,0.08781,0.22,ci,ci39280648,2020-01-27T01:53:26.364Z,"23km ESE of Little Lake, CA",earthquake,0.37,1.13,0.168,26,reviewed,ci,ci
2020-01-24T10:59:01.510Z,35.7391667,-117.5941667,10.73,1.55,ml,26,58,0.07646,0.13,ci,ci39280640,2020-01-29T21:28:33.220Z,"15km NNE of Ridgecrest, CA",earthquake,0.18,0.33,0.143,18,reviewed,ci,ci
2020-01-24T08:54:40.000Z,35.6941667,-117.534,2.73,1.46,ml,22,78,0.1223,0.21,ci,ci39280584,2020-01-24T15:11:46.196Z,"14km SW of Searles Valley, CA",earthquake,0.32,0.68,0.159,23,reviewed,ci,ci
2020-01-24T07:33:36.400Z,35.6198333,-117.4818333,8.9,1.5,ml,23,104,0.03691,0.17,ci,ci39280536,2020-01-24T07:37:26.677Z,"18km E of Ridgecrest, CA",earthquake,0.31,0.73,0.198,21,automatic,ci,ci
2020-01-24T02:03:42.870Z,35.6681667,-117.5183333,6.52,1.47,ml,20,98,0.09344,0.16,ci,ci39280304,2020-01-24T10:06:18.895Z,"15km SW of Searles Valley, CA",earthquake,0.29,1.08,0.135,22,automatic,ci,ci
2020-01-24T00:22:37.420Z,35.6303333,-117.4246667,2.88,1.7,ml,25,75,0.05337,0.21,ci,ci39280200,2020-01-24T00:33:15.820Z,"15km S of Searles Valley, CA",earthquake,0.33,0.58,0.171,26,automatic,ci,ci
